0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	 
66 |19	0	0	19	2	7	10	0	0	10	5	0	11	0	0	15	0	19	12	0	19	17	8	0	10	8	0	3	19	0	3	0	16	13	16	15	0	0	12	0	1	0	0	0	0	5	4	10	0	3	10	19	12	17	5	9	0	18	0	18	14	17	0	18	0	0	0	17	13	9	11	13	7	11	8	0	1	0	18	11	2	7	10	0	0	18	0	2	0	18	0	11	0	16	13	17	16	9	16	19	
67 |0	10	0	0	12	0	0	0	15	19	16	7	0	15	6	0	0	0	6	1	18	0	3	5	0	12	12	11	19	0	4	0	0	0	12	17	9	9	2	1	5	11	0	19	0	15	0	9	0	14	0	0	4	0	8	0	0	15	0	15	13	0	6	0	13	0	17	0	0	19	18	0	13	2	15	17	2	0	12	13	4	0	12	0	15	0	3	7	14	7	12	12	6	9	11	7	11	11	8	0	
68 |14	19	0	4	2	12	0	1	13	0	0	10	9	0	0	17	11	4	0	4	0	5	17	0	4	0	0	2	14	18	0	17	12	0	19	2	0	0	19	14	13	18	6	11	0	1	0	11	16	4	6	12	0	0	0	0	11	4	0	12	0	0	13	12	0	0	13	0	0	0	0	8	8	7	0	0	0	16	4	0	16	0	4	12	15	0	0	5	1	10	9	2	0	2	8	0	0	0	6	19	
69 |5	0	10	11	18	17	0	0	8	19	15	0	0	4	5	0	0	0	0	17	17	2	0	0	12	14	12	18	17	12	10	19	15	0	15	13	0	0	0	0	7	5	16	0	11	0	1	7	7	0	13	0	8	0	12	15	0	4	0	8	9	0	2	0	8	0	9	19	0	0	0	4	16	19	12	15	0	0	0	17	0	14	9	5	0	16	0	17	9	13	0	2	0	0	2	4	0	0	4	13	
70 |0	0	15	7	13	0	0	17	14	12	4	0	10	0	2	3	3	17	10	9	15	0	7	5	13	12	0	4	11	0	2	6	7	0	18	0	1	7	12	0	0	19	9	0	14	4	0	15	0	8	6	12	14	17	4	0	4	0	0	16	0	0	8	0	8	0	11	18	0	0	0	9	1	13	0	18	0	0	12	19	11	0	10	0	0	16	0	0	15	14	0	12	16	2	10	0	10	9	0	6	
71 |0	0	1	7	0	13	12	0	14	16	5	0	0	14	5	6	0	0	19	0	0	3	3	10	0	15	14	8	3	11	0	16	1	11	0	8	6	14	4	0	17	3	0	1	0	14	16	17	13	0	0	0	15	18	0	0	0	17	0	5	0	7	11	3	0	19	13	0	8	4	9	0	7	10	0	3	0	5	0	13	19	6	17	9	0	9	0	1	14	8	15	0	3	17	6	0	0	8	5	0	
72 |14	0	7	0	12	3	0	0	2	11	9	0	0	0	16	13	0	1	5	0	14	10	0	7	18	15	6	12	0	1	13	0	3	12	0	18	9	17	4	0	1	0	0	13	14	18	18	0	1	14	0	0	0	0	11	9	16	14	2	6	0	5	9	0	11	11	7	13	8	16	1	7	0	0	15	13	10	0	0	11	14	0	11	3	0	6	11	2	3	15	19	0	5	13	10	9	15	11	6	7	
73 |0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	1	16	16	0	0	0	19	19	17	17	12	10	0	13	0	13	3	6	16	19	8	19	11	0	0	0	0	0	6	9	7	10	0	19	7	16	14	6	16	10	13	15	0	7	0	19	14	16	0	4	3	11	2	7	19	13	10	0	0	9	8	19	0	0	0	9	9	0	8	7	0	0	0	12	11	11	7	0	4	3	16	0	12	2	0	
74 |0	0	9	16	2	9	18	0	0	9	0	0	4	10	0	6	19	0	7	5	17	14	17	11	0	0	6	0	0	12	0	12	16	14	7	11	9	10	5	0	14	0	4	1	4	6	3	0	0	14	15	5	0	17	17	1	14	0	6	18	1	0	0	13	3	17	8	15	0	12	0	0	15	9	0	7	0	0	0	4	12	4	1	0	3	18	13	0	12	6	17	0	14	2	18	8	0	6	9	0	
75 |0	10	15	0	17	15	0	0	0	0	7	0	4	14	0	0	5	15	0	0	0	3	17	13	0	7	0	4	0	0	0	5	11	12	14	4	0	16	8	0	4	4	5	10	8	0	6	0	9	1	14	12	8	0	15	10	0	2	16	0	14	11	14	0	16	16	0	17	0	15	18	3	13	8	7	0	0	14	0	0	0	9	5	17	0	12	11	8	1	0	12	9	0	13	0	4	0	0	16	0	
76 |18	0	18	5	0	3	0	0	7	12	4	4	0	17	0	0	0	10	1	11	15	19	0	15	12	0	11	0	19	9	17	0	7	0	10	19	0	11	8	10	0	0	14	1	0	0	15	3	15	3	0	8	10	9	9	10	17	0	0	0	5	0	0	11	10	6	1	2	0	0	0	0	10	19	0	0	0	0	9	8	0	0	19	19	9	0	1	6	15	3	10	14	18	11	0	0	7	0	0	0	
77 |19	13	5	2	15	1	15	13	0	15	13	0	17	14	15	7	12	1	0	0	0	12	2	10	5	0	10	0	17	0	15	3	0	7	6	13	12	0	2	0	0	8	12	0	8	11	0	0	0	8	8	0	2	0	0	10	0	1	0	13	1	9	7	0	0	14	0	0	16	0	0	5	0	0	0	14	0	0	12	1	0	0	8	18	8	0	0	0	2	0	14	0	10	9	13	0	0	1	8	11	
78 |0	0	0	18	2	4	13	1	15	15	0	11	0	6	17	10	7	0	0	0	0	1	13	9	16	0	7	11	7	9	0	2	10	11	5	0	6	3	0	18	0	1	6	5	18	4	10	12	0	17	0	0	16	0	7	19	0	7	6	11	15	7	11	3	12	14	18	12	4	0	12	0	0	0	0	0	9	12	0	5	18	18	6	1	0	0	0	4	12	8	0	17	7	0	18	14	0	13	3	12	
79 |4	0	0	3	0	0	2	13	13	0	18	3	0	0	16	7	0	0	9	0	0	1	14	19	8	8	0	0	1	16	17	0	18	3	5	0	15	2	11	8	0	13	19	0	0	0	0	0	15	9	0	13	9	0	0	0	0	0	17	14	11	4	0	12	18	16	11	13	0	17	19	13	11	0	4	0	8	1	5	0	15	0	0	13	0	0	11	11	0	14	10	10	0	0	0	0	0	0	8	10	
80 |19	17	0	18	18	19	11	9	19	4	2	13	17	0	12	0	5	0	14	4	0	5	0	0	8	0	0	9	0	8	7	15	19	9	0	0	0	11	9	18	11	17	4	14	0	19	18	0	17	0	10	18	0	3	8	10	0	16	0	16	0	13	3	0	17	0	2	4	16	0	11	19	14	9	12	0	0	0	18	15	0	6	16	0	3	19	13	11	9	12	1	13	9	0	19	17	9	0	0	0	
81 |0	19	0	0	0	0	12	18	19	4	0	0	0	0	0	0	3	0	0	0	2	3	1	8	2	0	11	2	0	0	4	0	16	6	16	12	0	12	0	10	0	15	15	9	7	0	7	16	16	2	3	0	0	0	17	10	1	6	7	18	19	13	19	0	0	2	7	0	0	14	0	6	0	9	4	9	0	0	18	0	6	0	5	0	10	9	15	0	15	13	0	7	0	9	19	0	11	0	13	0	
82 |0	6	0	12	2	8	8	0	0	0	14	0	0	13	15	0	1	4	7	3	1	0	12	0	3	0	5	5	0	12	0	0	0	9	19	5	1	7	0	2	19	0	13	14	16	0	1	12	18	13	1	12	0	12	8	9	2	9	2	4	0	0	0	1	9	0	10	12	4	9	10	17	11	0	1	5	19	8	6	0	16	5	0	19	2	7	0	0	15	3	0	0	8	14	16	16	12	0	0	0	
83 |5	16	17	11	6	16	18	4	2	0	14	0	13	11	10	10	12	0	10	0	0	16	16	2	6	8	5	15	0	0	13	0	18	1	0	15	3	0	7	8	13	9	15	0	7	0	14	0	19	0	18	4	3	10	4	3	0	10	18	5	0	14	15	10	3	0	0	0	12	5	0	9	3	8	0	17	19	18	1	13	0	0	19	0	12	12	6	0	6	0	10	0	8	3	5	6	0	14	16	7	
84 |1	0	15	5	0	9	0	14	3	0	18	7	12	0	3	9	6	5	7	18	0	2	19	0	11	0	0	0	18	0	0	0	12	0	19	0	0	18	5	0	0	19	6	2	18	1	9	14	0	16	5	0	18	4	6	0	0	10	18	0	15	0	3	18	0	0	0	15	15	0	0	0	0	7	3	0	9	8	0	0	3	10	2	12	0	2	17	3	0	0	15	11	19	4	0	5	0	16	0	12	
85 |14	0	0	0	11	0	8	16	0	0	16	6	7	5	0	0	14	19	9	0	3	19	10	12	8	0	18	3	10	0	0	17	0	5	0	0	18	17	0	10	4	0	5	0	3	0	0	0	0	13	18	0	11	0	0	9	6	0	15	14	0	10	0	11	7	17	18	0	0	16	16	9	6	0	18	12	0	0	0	0	19	9	7	12	2	0	5	7	1	0	1	19	0	15	0	0	18	14	9	0	
86 |7	9	2	0	0	12	0	2	16	17	18	4	9	0	12	19	7	13	8	16	5	0	0	7	6	0	9	10	12	0	10	0	16	0	0	8	0	0	0	4	13	0	0	15	8	14	6	0	16	0	19	2	9	12	0	0	12	0	11	0	13	12	12	18	12	17	0	3	0	0	0	0	11	0	13	11	1	0	0	11	13	15	0	6	17	5	0	11	0	12	6	4	0	0	14	11	0	0	11	11	
87 |0	6	17	7	10	18	1	0	6	2	0	0	0	0	3	12	13	0	18	0	1	0	17	16	7	2	17	0	1	6	0	0	10	0	15	6	13	12	12	12	5	6	19	13	0	5	0	0	0	0	0	17	0	0	8	0	18	17	12	0	14	5	0	0	16	16	2	7	5	17	0	1	2	0	0	8	6	0	4	11	11	0	0	0	3	7	11	0	0	4	0	0	6	6	6	10	11	1	7	17	
88 |6	7	16	9	0	5	5	0	5	2	3	4	1	0	0	10	8	0	16	8	0	2	6	0	0	5	0	13	0	2	0	13	0	0	11	0	17	0	0	0	13	4	17	17	0	0	9	0	15	0	18	16	2	19	0	0	10	12	7	0	11	4	14	4	15	12	0	14	1	9	15	14	3	12	12	1	15	2	12	0	9	15	15	6	0	1	0	0	0	12	16	0	11	0	16	3	9	0	0	13	
89 |5	0	7	0	3	7	0	5	0	17	0	0	0	19	0	0	7	10	1	6	0	14	8	6	3	5	12	0	13	19	16	0	0	4	10	0	0	4	7	8	0	11	5	0	0	0	3	9	13	0	10	0	16	0	10	2	0	0	12	0	8	12	14	9	14	17	18	7	10	13	14	8	15	11	6	0	3	0	8	14	12	13	3	0	0	0	12	4	12	0	0	12	0	10	8	0	9	0	5	0	
90 |0	15	4	7	5	9	0	0	0	15	19	19	8	18	0	0	0	0	10	16	16	18	0	6	14	2	0	4	0	14	4	4	13	15	2	0	19	0	0	0	14	8	0	1	5	10	0	17	1	15	19	19	0	0	0	14	1	12	7	8	2	0	4	7	2	15	0	12	9	0	0	15	19	11	17	12	10	14	0	10	1	0	0	10	15	1	6	0	16	0	0	5	12	1	10	0	0	0	0	0	
91 |5	0	17	2	0	18	0	18	2	18	3	0	0	0	0	0	3	0	15	13	0	0	14	0	0	8	19	0	8	7	5	0	0	0	19	0	0	10	7	0	5	0	16	13	0	4	0	10	4	0	0	0	19	14	0	15	3	0	0	10	0	1	14	14	0	0	11	12	2	2	12	0	0	7	0	9	14	0	17	10	13	7	0	0	11	19	4	0	0	12	5	0	0	0	0	4	0	15	3	18	
92 |5	0	9	15	9	0	0	8	0	5	0	8	0	0	0	6	1	0	9	2	0	17	0	10	0	6	3	6	3	0	0	9	13	0	10	8	13	12	15	2	0	15	0	16	11	1	5	15	0	9	18	17	1	13	0	6	0	2	5	14	0	0	0	9	18	14	0	6	0	0	16	3	5	0	14	0	18	10	7	0	9	0	8	8	19	0	0	6	11	0	12	0	0	0	16	3	0	19	0	0	
93 |15	2	0	0	15	17	0	19	0	14	2	3	19	6	0	0	8	15	0	7	19	10	10	0	2	0	1	11	0	10	0	0	7	0	2	1	2	2	10	0	0	0	0	0	0	0	0	9	10	0	15	2	0	0	7	9	0	10	6	13	13	8	9	9	11	5	16	9	2	0	2	17	13	4	2	13	11	9	0	0	0	9	14	3	4	15	0	6	0	10	1	0	0	0	16	4	12	18	16	0	
94 |0	8	11	18	14	17	0	0	10	1	0	7	4	13	15	0	0	0	0	2	0	17	9	2	0	0	1	12	16	19	0	16	12	0	0	15	14	0	16	0	8	15	4	0	0	8	2	0	16	6	0	4	9	11	0	16	0	0	0	0	8	0	0	0	12	12	13	11	8	2	10	6	10	3	18	0	0	13	18	0	19	19	16	5	0	0	14	6	16	8	10	0	16	16	0	0	14	11	14	0	
95 |13	9	12	0	16	0	16	5	13	0	0	0	10	16	0	16	7	11	1	0	3	0	8	10	0	0	0	19	13	0	13	0	16	14	1	11	2	0	6	0	11	0	8	8	0	0	0	4	0	0	1	0	18	2	0	0	14	4	0	0	7	18	0	0	0	15	17	7	0	4	0	0	9	16	8	4	0	0	14	0	17	0	16	6	5	0	11	10	3	0	0	4	3	4	0	0	19	6	9	11	
96 |16	10	0	0	4	3	0	0	0	7	17	0	10	12	10	8	0	6	13	6	0	0	10	0	0	0	15	1	8	0	0	0	4	14	15	0	0	3	11	0	9	11	9	0	10	0	0	0	15	1	3	0	0	16	0	12	0	3	2	4	0	15	7	15	3	0	16	11	0	0	10	0	15	0	0	0	7	0	0	0	9	11	12	0	0	18	0	11	9	9	0	0	0	12	14	19	0	0	0	17	
97 |3	6	11	0	0	13	0	1	14	0	0	8	3	10	15	10	12	4	16	14	11	1	18	8	14	0	0	7	10	16	0	6	7	16	19	6	10	19	16	15	13	15	1	19	5	0	11	6	0	0	1	1	0	3	12	0	0	11	2	18	17	10	14	13	11	15	9	11	0	0	9	8	11	12	6	0	0	1	13	0	0	0	0	14	16	14	0	1	0	0	0	15	19	18	11	6	0	0	0	19	
98 |0	0	19	0	0	0	15	0	15	15	1	6	17	16	0	15	0	19	19	14	3	0	11	9	0	13	18	7	6	12	2	7	2	4	5	0	16	16	0	0	0	15	19	0	0	0	16	17	8	5	0	1	17	12	17	0	9	14	10	0	4	11	9	0	0	15	16	8	6	4	0	5	6	2	9	16	0	8	3	8	0	13	0	16	0	9	11	7	0	5	0	3	0	16	14	9	0	0	0	8	
99 |0	13	14	19	15	7	2	3	13	1	0	15	0	3	11	6	10	0	7	16	0	0	0	0	0	7	0	14	15	8	18	10	1	14	0	16	4	8	15	16	13	0	17	4	0	5	0	4	0	0	0	18	5	0	15	11	0	19	0	5	0	14	5	0	0	6	19	0	19	13	6	0	7	0	0	0	0	11	12	10	0	0	0	7	12	0	11	17	13	0	0	18	0	0	0	11	17	19	8	0	
